user_ID,name,affiliation
JS7ITa0AAAAJ,Wasin Siwasarit,"Department of Economics, Thammasat University"
w57gQ0EAAAAJ,Asst.Prof.Dr Songsakdi Rongviriyapanish,"Faculty of Science and Technology, Thammasat University"
CIGup-kAAAAJ,Sakol Suethanapornkul,"Department of English and Linguistics, Faculty of Liberal Arts, Thammasat University"
u__8k3QAAAAJ,Suthikorn Kingkaew,Thammasat Business School
D-gCjy0AAAAJ,Wiroj Limtrakarn,"Professor of Mechanical Engineering, Thammasat University"
o656ai0AAAAJ,Patarawan Sangnawakij,"Lecturer of Statistics, Thammasat University"
k2XMMGMAAAAJ,Patnaree Srisuphaolarn,Thammasat Business School
WLlm5VwAAAAJ,Bhuminan Piyathasanan,Lecturer of Thammasat Business School
UxO9m6MAAAAJ,Sirirat Na Ranong,Thammasat University
xrKrnPUAAAAJ,Sangdao Wongsai,Thammasat University
-LjZjBYAAAAJ,Rachada Kongkachandra,Thammasat University
2f1eUr8AAAAJ,AJ Benjamin Clarke,"Department of English and Linguistics, Thammasat University, Thailand"
J-2GSGUAAAAJ,"Kewalin Inthanon, PhD, MPhil.","Biotechnology, Faculty of Science and Technology, Thammasat University"
Gwc1_EMAAAAJ,Woraphon Wattanatorn,Thammasat University
IzGKIBkAAAAJ,Supakit Prueksaaroon,"Faculty of Engineering, Thammasat University"
91z1Tv8AAAAJ,Prapaporn Rattanatamrong,"Computer Science, Thammasat University"
e-JEPVoAAAAJ,Panya Issarawornrawanich,"Thammasat Business School, Thammasat University"
X0V5Y3QAAAAJ,Monthon Sorakraikitikul,Thammasat Business School
eyIlf_4AAAAJ,Sarun Gulyanon,Thammasat University
PydiLw4AAAAJ,Chanintira na Thalang,Thammasat University
ULsutnMAAAAJ,Peerasak Intarapaiboon,Thammasat University
OFO6l_gAAAAJ,Rangsiman Soonthornchaiya,Thammasat university
zXscJoAAAAAJ,Neramitr Chirakanphaisarn,Thammasat University
_xTQ204AAAAJ,Kesorn Suwanprasert,Faculty of Medicine  Thammasat University
7zY04eEAAAAJ,Asst.Prof.Dr.Kongkoon Tochaiwat,"Thammasat University, Thailand"
X4m6MKgAAAAJ,Monvika Phadoongsitthi,"Thammasat Business School, Thammasat University"
yzNFy8cAAAAJ,Bhawat Traipattanakul,Sirindhorn International Institute of Technology
KJWyA3sAAAAJ,Monthon Kanokpermpoon,"Lecturer in TESOL, Language Institute, Thammasat University"
9SEyR-8AAAAJ,Suntichai Kotcharin,Thammasat University
G35ltCcAAAAJ,Arslan Khalid,"Sirindhorn International Institute of Technology, Thammasat University, Thailand"
qQJDFmEAAAAJ,Pattarin Pirompanich,Thammasat University
G3WUmckAAAAJ,Asst.Prof. Dr. Tanatorn Tanantong,"Department of Computer Science, Thammasat University"
N5APA98AAAAJ,Wasit Limprasert,Thammasat University
qKEumTMAAAAJ,Assoc. Prof. Dr. Nidtaya Takviriyanun,"Faculty of Nursing, Thammasat University"
8cHPaJgAAAAJ,Yukti Mukdawijitra,"Faculty of Sociology and Anthropology, Thammasat University"
0axTu80AAAAJ,Winchana Srivilaithon,Thammasat University
9oCT6R0AAAAJ,Piyaphong Panpisut,"Faculty of Dentistry, Thammasat University"
XXllPi4AAAAJ,"Irfan Ahmad, PhD","SIIT, Thammasat University"
29a2yH0AAAAJ,W. Marurngsith (Diaz Carballo),"Assistant Professor of Computer Science, Thammasat University"
